"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
3325650,North Middlesex Savings Bank,"1181CV00122",Real Property,Closed,20110114,20110318
4491555,North Middlesex Savings Bank,"1348SC000942",Small Claims,Disposed (Statistical Purposes),20131125,20140328
5178747,North Middlesex Savings Bank,"1048SU000039",Summary Process,Disposed (Statistical Purposes),20100701,20100716
5856721,North Middlesex Savings Bank,"1448SP000052",Supplementary Process,Disposed (Statistical Purposes),20140619,20140822
6522349,North Middlesex Savings Bank,"1281CV03179",Real Property,Closed,20120809,20121019
6522774,North Middlesex Savings Bank,"1281CV03181",Real Property,Closed,20120809,20121017
6525951,North Middlesex Savings Bank,"1281CV03195",Real Property,Closed,20120810,20130531
6555680,North Middlesex Savings Bank,"1281CV03365",Real Property,Closed,20120823,20121031
7061528,North Middlesex Savings Bank,"1181CV03859",Real Property,Closed,20111031,20120103
7198913,North Middlesex Savings Bank,"1181CV04384",Real Property,Closed,20111209,20120207
7610002,North Middlesex Savings Bank,"1281CV00224",Real Property,Closed,20120120,20120321
8169088,North Middlesex Savings Bank,"1281CV00793",Real Property,Closed,20120301,20120508
8883345,North Middlesex Savings Bank,"1148SU000046",Summary Process,Disposed (Statistical Purposes),20110815,20110830
9479526,North Middlesex Savings Bank,"1261SP000022",Supplementary Process,Disposed (Statistical Purposes),20120209,20120406
11929175,North Middlesex Savings Bank,"12H77SP002091",Housing Court Summary Process,Closed,20120611,20120703
14033320,North Middlesex Savings Bank,"1248SU000096",Summary Process,Disposed (Statistical Purposes),20121203,20121218
15582278,North Middlesex Savings Bank,"1085CV01513",Real Property,Closed,20100712,20100826
15900685,North Middlesex Savings Bank,"1485CV01472",Real Property,Closed,20140808,20140930
19118433,North Middlesex Savings Bank,"1085CV02461",Real Property,Closed,20101116,20120309
19493382,North Middlesex Savings Bank,"1177CV01062",Real Property,Closed,20110603,20110819
19559014,North Middlesex Savings Bank,"1281CV04414",Administrative Civil Actions,Open,20121108,20130311
19960817,North Middlesex Savings Bank,"0548CV000051",Civil,Disposed (Statistical Purposes),20050225,20051018
20250419,North Middlesex Savings Bank,"0548CV000221",Civil,Disposed (Statistical Purposes),20050602,20050819
20626462,North Middlesex Savings Bank,"0648SP000004",Supplementary Process,Disposed (Statistical Purposes),20060111,20060317
20646690,North Middlesex Savings Bank,"0648SP000008",Supplementary Process,Disposed (Statistical Purposes),20060118,20060918
21381863,North Middlesex Savings Bank,"0748SU000044",Summary Process,Disposed (Statistical Purposes),20070809,20070822
22040562,North Middlesex Savings Bank,"1548CV000254",Civil,Pending,20151124,20151124
22128284,North Middlesex Savings Bank,"0648CV000290",Civil,Disposed (Statistical Purposes),20060720,20070423
22298477,North Middlesex Savings Bank,"0648SC000614",Small Claims,Disposed (Statistical Purposes),20060815,20060929
22560032,North Middlesex Savings Bank,"0516CV000178",Civil,Disposed (Statistical Purposes),20050517,20050726
23367228,North Middlesex Savings Bank,"0848CV000595",Civil,Disposed (Statistical Purposes),20081003,20090129
24015937,North Middlesex Savings Bank,"1547CV000058",Civil,Disposed (Statistical Purposes),20150304,20150515
26798610,North Middlesex Savings Bank,"0816CV000505",Civil,Disposed (Statistical Purposes),20080715,20081205
26948268,North Middlesex Savings Bank,"0916SP000042",Supplementary Process,Disposed (Statistical Purposes),20090211,20090416
27064842,North Middlesex Savings Bank,"0516SP000097",Supplementary Process,Disposed (Statistical Purposes),20050928,20051123
46247530,North Middlesex Savings Bank,"0668CV000514",Civil,Disposed (Statistical Purposes),20061114,20070425
46645763,North Middlesex Savings Bank,"0768SP000160",Supplementary Process,Disposed (Statistical Purposes),20071107,20080212
47425196,North Middlesex Savings Bank,"0948CV000404",Civil,Disposed (Statistical Purposes),20090625,20091021
47748484,North Middlesex Savings Bank,"1081CV00113",Contract / Business Cases,Closed,20100112,20110121
47957024,North Middlesex Savings Bank,"1281CV00183",Contract / Business Cases,Closed,20120118,20130710
50411865,North Middlesex Savings Bank,"14 MISC 481950",Servicemembers,Open,20140303,20140303
50985401,North Middlesex Savings Bank,"1081CV04459",Real Property,Closed,20101124,20110124
51553730,North Middlesex Savings Bank,"14 MISC 487388",Servicemembers,Closed,20141021,20141223
51736877,North Middlesex Savings Bank,"1381CV03287",Real Property,Closed,20130722,20130930
51962401,North Middlesex Savings Bank,"1081CV04814",Real Property,Closed,20101222,20110314
52359799,North Middlesex Savings Bank,"1081CV01646",Real Property,Closed,20100430,20100706
52450800,North Middlesex Savings Bank,"14 MISC 481230",Servicemembers,Closed,20140117,20140311
52475725,North Middlesex Savings Bank,"13 MISC 478033",Servicemembers,Open,20130524,20130524
